รหัสเจ้าหน้าที่,คำนำหน้า,ชื่อ,นามสกุล,อีเมล,เบอร์โทร,แผนก,ตำแหน่ง,สิทธิ์ในระบบ
T040,นาย,ภาคิน,รักเรียน,teacher40@school.com,081-111-1040,งานกิจการนักเรียน,ครู,teacher
T041,นางสาว,อรทัย,นำทาง,teacher41@school.com,081-111-1041,มัธยมศึกษา,ครู,teacher
T042,นาย,ปกรณ์,นำทาง,teacher42@school.com,081-111-1042,ประถมศึกษา,ครู,teacher
T043,นาง,วรรณา,นำทาง,teacher43@school.com,081-111-1043,งานกิจการนักเรียน,ครูชำนาญการ,teacher
T044,นาย,นิรันดร์,นำทาง,teacher44@school.com,081-111-1044,ประถมศึกษา,ครูผู้ช่วย,teacher
T045,นางสาว,มัลลิกา,นำทาง,teacher45@school.com,081-111-1045,มัธยมศึกษา,หัวหน้าระดับ,teacher
T046,นาย,ธนากร,นำทาง,teacher46@school.com,081-111-1046,งานกิจการนักเรียน,ครู,teacher
T047,นาง,ศิริพร,นำทาง,teacher47@school.com,081-111-1047,มัธยมศึกษา,ครูแนะแนว,teacher
T048,นาย,ชยพล,นำทาง,teacher48@school.com,081-111-1048,ประถมศึกษา,ครู,teacher
T049,นางสาว,กนกวรรณ,นำทาง,teacher49@school.com,081-111-1049,งานกิจการนักเรียน,ครูชำนาญการ,teacher
T050,นาย,ภาคิน,นำทาง,teacher50@school.com,081-111-1050,ประถมศึกษา,ครู,teacher
