ปีการศึกษา,รหัสนักเรียน,คำนำหน้า,ชื่อ,นามสกุล,ชั้นปี,ห้อง,เลขที่ในห้อง,ระดับ,สถานะ,ชื่อผู้ปกครอง,ความสัมพันธ์,เบอร์โทรผู้ปกครอง
2569,2569000046,เด็กหญิง,อริสา,เก่งกล้า,10,ม.4/2,2,highschool,active,นางผู้ปกครอง เก่งกล้า,มารดา,082-222-1046
2569,2569000047,เด็กชาย,พชรพล,เก่งกล้า,11,ม.5/2,2,highschool,active,นายผู้ปกครอง เก่งกล้า,ผู้ปกครอง,082-222-1047
2569,2569000048,เด็กหญิง,ชนัญชิดา,เก่งกล้า,12,ม.6/2,2,highschool,active,นางผู้ปกครอง เก่งกล้า,ญาติ,082-222-1048
2569,2569000049,เด็กชาย,วรเมธ,เก่งกล้า,1,ป.1/1,3,primary,active,นายผู้ปกครอง เก่งกล้า,บิดา,082-222-1049
2569,2569000050,เด็กหญิง,กัญญารัตน์,เก่งกล้า,2,ป.2/1,3,primary,active,นางผู้ปกครอง เก่งกล้า,มารดา,082-222-1050
2569,2569000051,เด็กชาย,นราวิชญ์,เก่งกล้า,3,ป.3/1,3,primary,active,นายผู้ปกครอง เก่งกล้า,ผู้ปกครอง,082-222-1051
2569,2569000052,เด็กหญิง,พิชญาภา,เก่งกล้า,4,ป.4/1,3,primary,active,นางผู้ปกครอง เก่งกล้า,ญาติ,082-222-1052
2569,2569000053,เด็กชาย,ศุภโชค,เก่งกล้า,5,ป.5/1,3,primary,active,นายผู้ปกครอง เก่งกล้า,บิดา,082-222-1053
2569,2569000054,เด็กหญิง,ธัญชนก,เก่งกล้า,6,ป.6/1,3,primary,active,นางผู้ปกครอง เก่งกล้า,มารดา,082-222-1054
2569,2569000055,เด็กชาย,ภูวนาท,เก่งกล้า,7,ม.1/1,3,secondary,active,นายผู้ปกครอง เก่งกล้า,ผู้ปกครอง,082-222-1055
2569,2569000056,เด็กหญิง,แพรวา,เก่งกล้า,8,ม.2/1,3,secondary,active,นางผู้ปกครอง เก่งกล้า,ญาติ,082-222-1056
2569,2569000057,เด็กชาย,อนาวิน,เก่งกล้า,9,ม.3/1,3,secondary,active,นายผู้ปกครอง เก่งกล้า,บิดา,082-222-1057
2569,2569000058,เด็กหญิง,พิมพ์ชนก,เก่งกล้า,10,ม.4/1,3,highschool,active,นางผู้ปกครอง เก่งกล้า,มารดา,082-222-1058
2569,2569000059,เด็กชาย,ชยุต,เก่งกล้า,11,ม.5/1,3,highschool,active,นายผู้ปกครอง เก่งกล้า,ผู้ปกครอง,082-222-1059
2569,2569000060,เด็กหญิง,ศศิธร,เก่งกล้า,12,ม.6/1,3,highschool,active,นางผู้ปกครอง เก่งกล้า,ญาติ,082-222-1060
2569,2569000061,เด็กชาย,ธนภัทร,ใจงาม,1,ป.1/2,3,primary,active,นายผู้ปกครอง ใจงาม,บิดา,082-222-1061
2569,2569000062,เด็กหญิง,มินตรา,ใจงาม,2,ป.2/2,3,primary,active,นางผู้ปกครอง ใจงาม,มารดา,082-222-1062
2569,2569000063,เด็กชาย,ปุณณวิช,ใจงาม,3,ป.3/2,3,primary,active,นายผู้ปกครอง ใจงาม,ผู้ปกครอง,082-222-1063
2569,2569000064,เด็กหญิง,ณิชา,ใจงาม,4,ป.4/2,3,primary,active,นางผู้ปกครอง ใจงาม,ญาติ,082-222-1064
2569,2569000065,เด็กชาย,กิตติพงศ์,ใจงาม,5,ป.5/2,3,primary,active,นายผู้ปกครอง ใจงาม,บิดา,082-222-1065
2569,2569000066,เด็กหญิง,อริสา,ใจงาม,6,ป.6/2,3,primary,active,นางผู้ปกครอง ใจงาม,มารดา,082-222-1066
2569,2569000067,เด็กชาย,พชรพล,ใจงาม,7,ม.1/2,3,secondary,active,นายผู้ปกครอง ใจงาม,ผู้ปกครอง,082-222-1067
2569,2569000068,เด็กหญิง,ชนัญชิดา,ใจงาม,8,ม.2/2,3,secondary,active,นางผู้ปกครอง ใจงาม,ญาติ,082-222-1068
2569,2569000069,เด็กชาย,วรเมธ,ใจงาม,9,ม.3/2,3,secondary,active,นายผู้ปกครอง ใจงาม,บิดา,082-222-1069
2569,2569000070,เด็กหญิง,กัญญารัตน์,ใจงาม,10,ม.4/2,3,highschool,active,นางผู้ปกครอง ใจงาม,มารดา,082-222-1070
2569,2569000071,เด็กชาย,นราวิชญ์,ใจงาม,11,ม.5/2,3,highschool,active,นายผู้ปกครอง ใจงาม,ผู้ปกครอง,082-222-1071
2569,2569000072,เด็กหญิง,พิชญาภา,ใจงาม,12,ม.6/2,3,highschool,active,นางผู้ปกครอง ใจงาม,ญาติ,082-222-1072
2569,2569000073,เด็กชาย,ศุภโชค,ใจงาม,1,ป.1/1,4,primary,active,นายผู้ปกครอง ใจงาม,บิดา,082-222-1073
2569,2569000074,เด็กหญิง,ธัญชนก,ใจงาม,2,ป.2/1,4,primary,active,นางผู้ปกครอง ใจงาม,มารดา,082-222-1074
2569,2569000075,เด็กชาย,ภูวนาท,ใจงาม,3,ป.3/1,4,primary,active,นายผู้ปกครอง ใจงาม,ผู้ปกครอง,082-222-1075
2569,2569000076,เด็กหญิง,แพรวา,ใจงาม,4,ป.4/1,4,primary,active,นางผู้ปกครอง ใจงาม,ญาติ,082-222-1076
2569,2569000077,เด็กชาย,อนาวิน,ใจงาม,5,ป.5/1,4,primary,active,นายผู้ปกครอง ใจงาม,บิดา,082-222-1077
2569,2569000078,เด็กหญิง,พิมพ์ชนก,ใจงาม,6,ป.6/1,4,primary,active,นางผู้ปกครอง ใจงาม,มารดา,082-222-1078
2569,2569000079,เด็กชาย,ชยุต,ใจงาม,7,ม.1/1,4,secondary,active,นายผู้ปกครอง ใจงาม,ผู้ปกครอง,082-222-1079
2569,2569000080,เด็กหญิง,ศศิธร,ใจงาม,8,ม.2/1,4,secondary,active,นางผู้ปกครอง ใจงาม,ญาติ,082-222-1080
2569,2569000081,เด็กชาย,ธนภัทร,เพียรดี,9,ม.3/1,4,secondary,active,นายผู้ปกครอง เพียรดี,บิดา,082-222-1081
2569,2569000082,เด็กหญิง,มินตรา,เพียรดี,10,ม.4/1,4,highschool,active,นางผู้ปกครอง เพียรดี,มารดา,082-222-1082
2569,2569000083,เด็กชาย,ปุณณวิช,เพียรดี,11,ม.5/1,4,highschool,active,นายผู้ปกครอง เพียรดี,ผู้ปกครอง,082-222-1083
2569,2569000084,เด็กหญิง,ณิชา,เพียรดี,12,ม.6/1,4,highschool,active,นางผู้ปกครอง เพียรดี,ญาติ,082-222-1084
2569,2569000085,เด็กชาย,กิตติพงศ์,เพียรดี,1,ป.1/2,4,primary,active,นายผู้ปกครอง เพียรดี,บิดา,082-222-1085
2569,2569000086,เด็กหญิง,อริสา,เพียรดี,2,ป.2/2,4,primary,active,นางผู้ปกครอง เพียรดี,มารดา,082-222-1086
2569,2569000087,เด็กชาย,พชรพล,เพียรดี,3,ป.3/2,4,primary,active,นายผู้ปกครอง เพียรดี,ผู้ปกครอง,082-222-1087
2569,2569000088,เด็กหญิง,ชนัญชิดา,เพียรดี,4,ป.4/2,4,primary,active,นางผู้ปกครอง เพียรดี,ญาติ,082-222-1088
2569,2569000089,เด็กชาย,วรเมธ,เพียรดี,5,ป.5/2,4,primary,active,นายผู้ปกครอง เพียรดี,บิดา,082-222-1089
2569,2569000090,เด็กหญิง,กัญญารัตน์,เพียรดี,6,ป.6/2,4,primary,active,นางผู้ปกครอง เพียรดี,มารดา,082-222-1090
2569,2569000091,เด็กชาย,นราวิชญ์,เพียรดี,7,ม.1/2,4,secondary,active,นายผู้ปกครอง เพียรดี,ผู้ปกครอง,082-222-1091
2569,2569000092,เด็กหญิง,พิชญาภา,เพียรดี,8,ม.2/2,4,secondary,active,นางผู้ปกครอง เพียรดี,ญาติ,082-222-1092
2569,2569000093,เด็กชาย,ศุภโชค,เพียรดี,9,ม.3/2,4,secondary,active,นายผู้ปกครอง เพียรดี,บิดา,082-222-1093
2569,2569000094,เด็กหญิง,ธัญชนก,เพียรดี,10,ม.4/2,4,highschool,active,นางผู้ปกครอง เพียรดี,มารดา,082-222-1094
2569,2569000095,เด็กชาย,ภูวนาท,เพียรดี,11,ม.5/2,4,highschool,active,นายผู้ปกครอง เพียรดี,ผู้ปกครอง,082-222-1095
2569,2569000096,เด็กหญิง,แพรวา,เพียรดี,12,ม.6/2,4,highschool,active,นางผู้ปกครอง เพียรดี,ญาติ,082-222-1096
2569,2569000097,เด็กชาย,อนาวิน,เพียรดี,1,ป.1/1,5,primary,active,นายผู้ปกครอง เพียรดี,บิดา,082-222-1097
2569,2569000098,เด็กหญิง,พิมพ์ชนก,เพียรดี,2,ป.2/1,5,primary,active,นางผู้ปกครอง เพียรดี,มารดา,082-222-1098
2569,2569000099,เด็กชาย,ชยุต,เพียรดี,3,ป.3/1,5,primary,active,นายผู้ปกครอง เพียรดี,ผู้ปกครอง,082-222-1099
2569,2569000100,เด็กหญิง,ศศิธร,เพียรดี,4,ป.4/1,5,primary,active,นางผู้ปกครอง เพียรดี,ญาติ,082-222-1100
2569,2569000101,เด็กชาย,ธนภัทร,ร่าเริง,5,ป.5/1,5,primary,active,นายผู้ปกครอง ร่าเริง,บิดา,082-222-1101
2569,2569000102,เด็กหญิง,มินตรา,ร่าเริง,6,ป.6/1,5,primary,active,นางผู้ปกครอง ร่าเริง,มารดา,082-222-1102
2569,2569000103,เด็กชาย,ปุณณวิช,ร่าเริง,7,ม.1/1,5,secondary,active,นายผู้ปกครอง ร่าเริง,ผู้ปกครอง,082-222-1103
2569,2569000104,เด็กหญิง,ณิชา,ร่าเริง,8,ม.2/1,5,secondary,active,นางผู้ปกครอง ร่าเริง,ญาติ,082-222-1104
2569,2569000105,เด็กชาย,กิตติพงศ์,ร่าเริง,9,ม.3/1,5,secondary,active,นายผู้ปกครอง ร่าเริง,บิดา,082-222-1105
2569,2569000106,เด็กหญิง,อริสา,ร่าเริง,10,ม.4/1,5,highschool,active,นางผู้ปกครอง ร่าเริง,มารดา,082-222-1106
2569,2569000107,เด็กชาย,พชรพล,ร่าเริง,11,ม.5/1,5,highschool,active,นายผู้ปกครอง ร่าเริง,ผู้ปกครอง,082-222-1107
2569,2569000108,เด็กหญิง,ชนัญชิดา,ร่าเริง,12,ม.6/1,5,highschool,active,นางผู้ปกครอง ร่าเริง,ญาติ,082-222-1108
2569,2569000109,เด็กชาย,วรเมธ,ร่าเริง,1,ป.1/2,5,primary,active,นายผู้ปกครอง ร่าเริง,บิดา,082-222-1109
2569,2569000110,เด็กหญิง,กัญญารัตน์,ร่าเริง,2,ป.2/2,5,primary,active,นางผู้ปกครอง ร่าเริง,มารดา,082-222-1110
2569,2569000111,เด็กชาย,นราวิชญ์,ร่าเริง,3,ป.3/2,5,primary,active,นายผู้ปกครอง ร่าเริง,ผู้ปกครอง,082-222-1111
2569,2569000112,เด็กหญิง,พิชญาภา,ร่าเริง,4,ป.4/2,5,primary,active,นางผู้ปกครอง ร่าเริง,ญาติ,082-222-1112
2569,2569000113,เด็กชาย,ศุภโชค,ร่าเริง,5,ป.5/2,5,primary,active,นายผู้ปกครอง ร่าเริง,บิดา,082-222-1113
2569,2569000114,เด็กหญิง,ธัญชนก,ร่าเริง,6,ป.6/2,5,primary,active,นางผู้ปกครอง ร่าเริง,มารดา,082-222-1114
2569,2569000115,เด็กชาย,ภูวนาท,ร่าเริง,7,ม.1/2,5,secondary,active,นายผู้ปกครอง ร่าเริง,ผู้ปกครอง,082-222-1115
2569,2569000116,เด็กหญิง,แพรวา,ร่าเริง,8,ม.2/2,5,secondary,active,นางผู้ปกครอง ร่าเริง,ญาติ,082-222-1116
2569,2569000117,เด็กชาย,อนาวิน,ร่าเริง,9,ม.3/2,5,secondary,active,นายผู้ปกครอง ร่าเริง,บิดา,082-222-1117
2569,2569000118,เด็กหญิง,พิมพ์ชนก,ร่าเริง,10,ม.4/2,5,highschool,active,นางผู้ปกครอง ร่าเริง,มารดา,082-222-1118
2569,2569000119,เด็กชาย,ชยุต,ร่าเริง,11,ม.5/2,5,highschool,active,นายผู้ปกครอง ร่าเริง,ผู้ปกครอง,082-222-1119
2569,2569000120,เด็กหญิง,ศศิธร,ร่าเริง,12,ม.6/2,5,highschool,active,นางผู้ปกครอง ร่าเริง,ญาติ,082-222-1120
2569,2569000121,เด็กชาย,ธนภัทร,มั่นคง,1,ป.1/1,6,primary,active,นายผู้ปกครอง มั่นคง,บิดา,082-222-1121
2569,2569000122,เด็กหญิง,มินตรา,มั่นคง,2,ป.2/1,6,primary,active,นางผู้ปกครอง มั่นคง,มารดา,082-222-1122
2569,2569000123,เด็กชาย,ปุณณวิช,มั่นคง,3,ป.3/1,6,primary,active,นายผู้ปกครอง มั่นคง,ผู้ปกครอง,082-222-1123
2569,2569000124,เด็กหญิง,ณิชา,มั่นคง,4,ป.4/1,6,primary,active,นางผู้ปกครอง มั่นคง,ญาติ,082-222-1124
2569,2569000125,เด็กชาย,กิตติพงศ์,มั่นคง,5,ป.5/1,6,primary,active,นายผู้ปกครอง มั่นคง,บิดา,082-222-1125
2569,2569000126,เด็กหญิง,อริสา,มั่นคง,6,ป.6/1,6,primary,active,นางผู้ปกครอง มั่นคง,มารดา,082-222-1126
2569,2569000127,เด็กชาย,พชรพล,มั่นคง,7,ม.1/1,6,secondary,active,นายผู้ปกครอง มั่นคง,ผู้ปกครอง,082-222-1127
2569,2569000128,เด็กหญิง,ชนัญชิดา,มั่นคง,8,ม.2/1,6,secondary,active,นางผู้ปกครอง มั่นคง,ญาติ,082-222-1128
2569,2569000129,เด็กชาย,วรเมธ,มั่นคง,9,ม.3/1,6,secondary,active,นายผู้ปกครอง มั่นคง,บิดา,082-222-1129
2569,2569000130,เด็กหญิง,กัญญารัตน์,มั่นคง,10,ม.4/1,6,highschool,active,นางผู้ปกครอง มั่นคง,มารดา,082-222-1130
2569,2569000131,เด็กชาย,นราวิชญ์,มั่นคง,11,ม.5/1,6,highschool,active,นายผู้ปกครอง มั่นคง,ผู้ปกครอง,082-222-1131
2569,2569000132,เด็กหญิง,พิชญาภา,มั่นคง,12,ม.6/1,6,highschool,active,นางผู้ปกครอง มั่นคง,ญาติ,082-222-1132
2569,2569000133,เด็กชาย,ศุภโชค,มั่นคง,1,ป.1/2,6,primary,active,นายผู้ปกครอง มั่นคง,บิดา,082-222-1133
2569,2569000134,เด็กหญิง,ธัญชนก,มั่นคง,2,ป.2/2,6,primary,active,นางผู้ปกครอง มั่นคง,มารดา,082-222-1134
2569,2569000135,เด็กชาย,ภูวนาท,มั่นคง,3,ป.3/2,6,primary,active,นายผู้ปกครอง มั่นคง,ผู้ปกครอง,082-222-1135
2569,2569000136,เด็กหญิง,แพรวา,มั่นคง,4,ป.4/2,6,primary,active,นางผู้ปกครอง มั่นคง,ญาติ,082-222-1136
2569,2569000137,เด็กชาย,อนาวิน,มั่นคง,5,ป.5/2,6,primary,active,นายผู้ปกครอง มั่นคง,บิดา,082-222-1137
2569,2569000138,เด็กหญิง,พิมพ์ชนก,มั่นคง,6,ป.6/2,6,primary,active,นางผู้ปกครอง มั่นคง,มารดา,082-222-1138
2569,2569000139,เด็กชาย,ชยุต,มั่นคง,7,ม.1/2,6,secondary,active,นายผู้ปกครอง มั่นคง,ผู้ปกครอง,082-222-1139
2569,2569000140,เด็กหญิง,ศศิธร,มั่นคง,8,ม.2/2,6,secondary,active,นางผู้ปกครอง มั่นคง,ญาติ,082-222-1140
2569,2569000141,เด็กชาย,ธนภัทร,สดใส,9,ม.3/2,6,secondary,active,นายผู้ปกครอง สดใส,บิดา,082-222-1141
2569,2569000142,เด็กหญิง,มินตรา,สดใส,10,ม.4/2,6,highschool,active,นางผู้ปกครอง สดใส,มารดา,082-222-1142
2569,2569000143,เด็กชาย,ปุณณวิช,สดใส,11,ม.5/2,6,highschool,active,นายผู้ปกครอง สดใส,ผู้ปกครอง,082-222-1143
2569,2569000144,เด็กหญิง,ณิชา,สดใส,12,ม.6/2,6,highschool,active,นางผู้ปกครอง สดใส,ญาติ,082-222-1144
2569,2569000145,เด็กชาย,กิตติพงศ์,สดใส,1,ป.1/1,7,primary,active,นายผู้ปกครอง สดใส,บิดา,082-222-1145
2569,2569000146,เด็กหญิง,อริสา,สดใส,2,ป.2/1,7,primary,active,นางผู้ปกครอง สดใส,มารดา,082-222-1146
2569,2569000147,เด็กชาย,พชรพล,สดใส,3,ป.3/1,7,primary,active,นายผู้ปกครอง สดใส,ผู้ปกครอง,082-222-1147
2569,2569000148,เด็กหญิง,ชนัญชิดา,สดใส,4,ป.4/1,7,primary,active,นางผู้ปกครอง สดใส,ญาติ,082-222-1148
2569,2569000149,เด็กชาย,วรเมธ,สดใส,5,ป.5/1,7,primary,active,นายผู้ปกครอง สดใส,บิดา,082-222-1149
2569,2569000150,เด็กหญิง,กัญญารัตน์,สดใส,6,ป.6/1,7,primary,active,นางผู้ปกครอง สดใส,มารดา,082-222-1150
2569,2569000151,เด็กชาย,นราวิชญ์,สดใส,7,ม.1/1,7,secondary,active,นายผู้ปกครอง สดใส,ผู้ปกครอง,082-222-1151
2569,2569000152,เด็กหญิง,พิชญาภา,สดใส,8,ม.2/1,7,secondary,active,นางผู้ปกครอง สดใส,ญาติ,082-222-1152
2569,2569000153,เด็กชาย,ศุภโชค,สดใส,9,ม.3/1,7,secondary,active,นายผู้ปกครอง สดใส,บิดา,082-222-1153
2569,2569000154,เด็กหญิง,ธัญชนก,สดใส,10,ม.4/1,7,highschool,active,นางผู้ปกครอง สดใส,มารดา,082-222-1154
2569,2569000155,เด็กชาย,ภูวนาท,สดใส,11,ม.5/1,7,highschool,active,นายผู้ปกครอง สดใส,ผู้ปกครอง,082-222-1155
2569,2569000156,เด็กหญิง,แพรวา,สดใส,12,ม.6/1,7,highschool,active,นางผู้ปกครอง สดใส,ญาติ,082-222-1156
2569,2569000157,เด็กชาย,อนาวิน,สดใส,1,ป.1/2,7,primary,active,นายผู้ปกครอง สดใส,บิดา,082-222-1157
2569,2569000158,เด็กหญิง,พิมพ์ชนก,สดใส,2,ป.2/2,7,primary,active,นางผู้ปกครอง สดใส,มารดา,082-222-1158
2569,2569000159,เด็กชาย,ชยุต,สดใส,3,ป.3/2,7,primary,active,นายผู้ปกครอง สดใส,ผู้ปกครอง,082-222-1159
2569,2569000160,เด็กหญิง,ศศิธร,สดใส,4,ป.4/2,7,primary,active,นางผู้ปกครอง สดใส,ญาติ,082-222-1160
2569,2569000161,เด็กชาย,ธนภัทร,กล้าหาญ,5,ป.5/2,7,primary,active,นายผู้ปกครอง กล้าหาญ,บิดา,082-222-1161
2569,2569000162,เด็กหญิง,มินตรา,กล้าหาญ,6,ป.6/2,7,primary,active,นางผู้ปกครอง กล้าหาญ,มารดา,082-222-1162
2569,2569000163,เด็กชาย,ปุณณวิช,กล้าหาญ,7,ม.1/2,7,secondary,active,นายผู้ปกครอง กล้าหาญ,ผู้ปกครอง,082-222-1163
2569,2569000164,เด็กหญิง,ณิชา,กล้าหาญ,8,ม.2/2,7,secondary,active,นางผู้ปกครอง กล้าหาญ,ญาติ,082-222-1164
2569,2569000165,เด็กชาย,กิตติพงศ์,กล้าหาญ,9,ม.3/2,7,secondary,active,นายผู้ปกครอง กล้าหาญ,บิดา,082-222-1165
2569,2569000166,เด็กหญิง,อริสา,กล้าหาญ,10,ม.4/2,7,highschool,active,นางผู้ปกครอง กล้าหาญ,มารดา,082-222-1166
2569,2569000167,เด็กชาย,พชรพล,กล้าหาญ,11,ม.5/2,7,highschool,active,นายผู้ปกครอง กล้าหาญ,ผู้ปกครอง,082-222-1167
